ref,schemaLocation,id,subRubric,publicationDate,legalRemedy,title_en,entryType
https://amtsblattportal.ch/api/v1/publications/4f614e43-c3e7-4df5-805f-4574ae3eabdc/xml,https://amtsblattportal.ch/api/v1/schemas/shab/1.23/HR03-export.xsd,4f614e43-c3e7-4df5-805f-4574ae3eabdc,HR03,2025-01-15,,"Deletion Société coopérative de la Guinguette en liquidation, Delémont",Deletion
https://amtsblattportal.ch/api/v1/publications/e8608e46-d33e-4224-803f-d5d0cb6136bc/xml,https://amtsblattportal.ch/api/v1/schemas/shab/1.23/HR03-export.xsd,e8608e46-d33e-4224-803f-d5d0cb6136bc,HR03,2025-01-15,,"Deletion DENTAMINA AG in Liquidation, Bad Ragaz",Deletion
https://amtsblattportal.ch/api/v1/publications/76a76b6a-7cc8-4378-b9f4-4c444315c931/xml,https://amtsblattportal.ch/api/v1/schemas/shab/1.23/HR03-export.xsd,76a76b6a-7cc8-4378-b9f4-4c444315c931,HR03,2025-01-15,,"Deletion schwarz logistics engineering, Reinach (AG)",Deletion
https://amtsblattportal.ch/api/v1/publications/d8b04ace-8253-44e9-aae2-53434adbb228/xml,https://amtsblattportal.ch/api/v1/schemas/shab/1.23/HR03-export.xsd,d8b04ace-8253-44e9-aae2-53434adbb228,HR03,2025-01-15,,"Deletion Wipf & Co. Immobilien, Lohn (SH)",Deletion
https://amtsblattportal.ch/api/v1/publications/4fe15a9e-237b-487a-9334-fd0fc248602e/xml,https://amtsblattportal.ch/api/v1/schemas/shab/1.23/HR03-export.xsd,4fe15a9e-237b-487a-9334-fd0fc248602e,HR03,2025-01-15,,"Deletion Freuler Haustechnik, Oberwil-Lieli",Deletion
https://amtsblattportal.ch/api/v1/publications/c403d707-6d39-4e86-8796-9ac2a4827adc/xml,https://amtsblattportal.ch/api/v1/schemas/shab/1.23/HR03-export.xsd,c403d707-6d39-4e86-8796-9ac2a4827adc,HR03,2025-01-15,,"Deletion Bourbon-Baron, Lübberstedt, Oberriet (SG)",Deletion
https://amtsblattportal.ch/api/v1/publications/c865bf87-244a-4664-9385-cd480afead8b/xml,https://amtsblattportal.ch/api/v1/schemas/shab/1.23/HR03-export.xsd,c865bf87-244a-4664-9385-cd480afead8b,HR03,2025-01-15,,"Deletion LS Adventure KLG, Spreitenbach",Deletion
https://amtsblattportal.ch/api/v1/publications/40ea91e8-6658-4c15-9933-5f614b360899/xml,https://amtsblattportal.ch/api/v1/schemas/shab/1.23/HR03-export.xsd,40ea91e8-6658-4c15-9933-5f614b360899,HR03,2025-01-15,,"Deletion Wallprint Momirovic, Basel",Deletion
https://amtsblattportal.ch/api/v1/publications/99314240-16ce-43d8-a758-ce620b10f3aa/xml,https://amtsblattportal.ch/api/v1/schemas/shab/1.23/HR03-export.xsd,99314240-16ce-43d8-a758-ce620b10f3aa,HR03,2025-01-15,,"Deletion Max Kappler, Malerarbeiten, Zuzwil (SG)",Deletion
https://amtsblattportal.ch/api/v1/publications/ecb817fa-8a57-4cb4-abe0-b360f86df91a/xml,https://amtsblattportal.ch/api/v1/schemas/shab/1.23/HR03-export.xsd,ecb817fa-8a57-4cb4-abe0-b360f86df91a,HR03,2025-01-15,,"Deletion Egli Trade, Lütisburg",Deletion
